Global Property ID;Source Property ID;Global Property Name;Global Chain Code;Property Address 1;Property Address 2;Primary Airport Code;Property City Name;Property State/Province;Property Zip/Postal;Property Country Code;Property Phone Number;Property Fax Number;Sabre Property Rating;Property Latitude;Property Longitude;Source Group Code
100416694;69083;Honeysuckle Executive Apartmen;GD;14 Honeysuckle;;SYD;Newcastle;NSW;2300;AU;61-2-49555888;61-2-49555888;4;-32.926.201;151.770.225;SABRE_GDS
100001502;102065;Alpine Motor Inn;GD;197 Great Western Highway;;SYD;Katoomba;NSW;2780;AU;61-2-47822011;61-2-47822053;03.May;-3.370.671;15.031.743;SABRE_GDS
100464470;321896;Burnett Riverside Hotel;GD;7 Quay St;;BDB;Bundaberg Central;QLD;4670;AU;61-7-41558777;61-7-41558777;03.May;-24.863.501;152.352.161;SABRE_GDS
100204800;317800;Deep Blue Hotel And Hot Springs;GD;16 Worm Bay Road;;WMB;Warrnambool;VIC;3280;AU;61-3-55592000;;4;-38.396.427;142.473.432;SABRE_GDS
102113159;610931;Wildlife Retreat At Taronga;GD;2a Bradleys Head Rd;;SYD;Mosman;NSW;2088;AU;61-2-99324888;;04.May;-33.843.367;151.244.057;SABRE_GDS
102177957;389508;Alloggio Thornton;GD;21 Poynton Place;;NTL;Thornton;NSW;2322;AU;61-2-40365060;61-2-40365060;3;-327.735;15.164.091;SABRE_GDS
100037660;162760;Spicers Balfour Hotel;GD;37 Balfour Street;New Farm;BNE;New Farm;QLD;4005;AU;61-7-3358-8888;;04.May;-2.746.388;153.040.406;SABRE_GDS
100249656;415870;Discovery Parks - Cradle Mt;GD;3832 Cradle Mountain Road;;DPO;Cradle Mountain;TAS;7306;AU;61-3-64921395;61-3-64921438;3;-4.158.137;14.593.708;SABRE_GDS
100020240;137581;Quest Moorabbin;GD;3 Kingston Road;;MBW;Heatherton;VIC;3202;AU;61-3-99818900;61-3-99818999;04.May;-37.953.223;145.079.758;SABRE_GDS
100300270;443030;Discovery Parks - Robe;GD;70 Esplanade;;MGB;Robe;SA;5276;AU;61-8-87682237;61-8-87682730;3;-37.164.113;13.978.335;SABRE_GDS
102942673;614714;Quest Bairnsdale;GD;9 Dalmahoy St;;BJS;Bairnsdale;VIC;3875;AU;1800-334-033;;-1;-37.828.432;147.633.084;SABRE_GDS
100811473;187998;Astra Sydney Cbd;GD;355 To 365 Kent St;;SYD;Sydney;NSW;02000;AU;61-1300797321;;4;-3.386.889;15.120.455;SABRE_GDS
100619448;611498;Eureka Tower;GD;7 Riverside Quay;;MEL;Southbank;VIC;3006;AU;61-08-6064300;61-08-6064300;03.May;-37.821.334;144.964.698;SABRE_GDS
101033998;387846;Hobart City Apartments;GD;80 Elizabeth Street;;HBA;Hobart;TAS;7000;AU;61-3-62405585;;4;-4.288.123;14.732.619;SABRE_GDS
100238538;410039;Charlestown Executive Apartments;GD;45-47 Dickinson Street;;NTL;Charlestown;NSW;2290;AU;61-2-49416688;6-124-942-3433;3;-3.296.513;151.698.135;SABRE_GDS
